address,bsc_mpx_balance,bsc_thena_lp_balance,bsc_thena_mpx_balance,bsc_fsmlp_balance,fantom_equalizer_lp_balance,fantom_equalizer_mpx_balance,fantom_fsmlp_balance,fantom_fvm_lp_balance,fantom_fvm_mpx_balance,fantom_mpx_balance,fantom_smpx_balance,total_mpx,vefvm_balance
0x0fd9e6bCe4b8a04877Fec56df818243F7EF5C3f7,0,0,0,0,0,0,0,0,0,428106953000649856,0,428106953000649856,2261540963863614
0x100420E7B70f51Afa95140275c0DDc956Ebee56A,0,0,0,0,0,0,0,0,0,0,327463688808322301952,327463688808322301952,1729877408500728576
0x101D88a0F5fFEe6879070a11eB20a2FfA3E1074e,0,0,0,0,0,0,197521027669911240704,0,0,0,192697930486769451008,192697930486769451008,1017956518559301760
0x1020b6BF23455e7A3805eaf6839b4A3914ee7bF2,0,0,0,0,0,0,0,0,0,0,1758141776869036130304,1758141776869036130304,9287654920809590784
0x102CdCcD3C2b2C3B38Df969F6fAbD02a0827765c,0,0,0,0,0,0,0,0,0,0,592077373428964392960,592077373428964392960,3127739982733576192
0x105AD8186310751d3061ae7cc3fE5501E4De9Be3,0,0,0,0,0,0,0,0,0,250493434933882496,0,250493434933882496,1323270178891535
0x105ebE20d9f33A2cFD98b4a37C389b15426d3Abc,0,0,0,0,0,0,0,0,0,4498588331449521799168,0,4498588331449521799168,23764486233692426240
0x106cF9800E1A7a1eEc7f4c10BDe50A360D2c6283,0,0,0,0,0,0,617918924819597623296,0,0,10922776439558720,2030948726273610350592,2030959649050049904640,10728857380351361024
0x1096cB8F6e17dB5a072fa5b19dC4b8F212CB36E3,0,0,0,0,4477967306931808239616,6742190329768084242432,0,0,0,208054513451514494976,0,6950244843219598704640,36715739633873915904
0x10994c5775c2A825e15bc016fB03Dec068a650AC,0,0,0,0,0,0,0,0,0,7583385422677195,0,7583385422677195,40060402331575
0x10D094BbFF45b68f0b5261dC84cC724908bDea33,0,0,0,0,0,0,0,0,0,0,49549717389999996928,49549717389999996928,261754019269993312
